week	number
March 2017	18
April 2017	44
May 2017	49
June 2017	48
July 2017	47
August 2017	59
September 2017	55
October 2017	43
November 2017	73
December 2017	73
January 2018	76
February 2018	14
March 2018	51
April 2018	63
May 2018	60
June 2018	68
July 2018	70
August 2018	74
September 2018	93
October 2018	93
November 2018	125
December 2018	109
January 2019	69
February 2019	34
March 2019	98
April 2019	102
May 2019	68
June 2019	72
July 2019	90
August 2019	106
September 2019	88
October 2019	78
November 2019	91
